Date,ABEV3.SA,BBAS3.SA,BBDC4.SA,BRL=X,ELET3.SA,EQTL3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,LREN3.SA,MGLU3.SA,PETR4.SA,RENT3.SA,SUZB3.SA,VALE3.SA,WEGE3.SA,^BVSP
2012-08-22 23:00:00+00:00,,,,2.0153000354766846,,,,,,,,,,,,,
2012-08-23 03:00:00+00:00,8.253847122192383,11.933759689331055,7.507810592651367,,8.776419639587402,2.73298716545105,3.026620864868164,10.049361228942871,4.390612602233887,8.996908187866211,0.3039228022098541,8.599616050720215,7.630000591278076,17.512332916259766,19.25921630859375,2.4269795417785645,58512.0
2012-08-23 23:00:00+00:00,,,,2.0227999687194824,,,,,,,,,,,,,
2012-08-24 03:00:00+00:00,8.292444229125977,11.887286186218262,7.4836320877075195,,8.724418640136719,2.6918272972106934,3.0236010551452637,10.037562370300293,4.405520915985107,8.825945854187012,0.3129447102546692,8.607725143432617,7.773764133453369,17.512332916259766,19.164857864379883,2.3794162273406982,58426.0
2012-08-26 23:00:00+00:00,,,,2.023099899291992,,,,,,,,,,,,,
2012-08-27 03:00:00+00:00,8.265823364257812,12.155808448791504,7.430880546569824,,8.70130729675293,2.6901817321777344,2.9813120365142822,9.887044906616211,4.539700031280518,8.908714294433594,0.32563120126724243,8.664488792419434,7.716684341430664,17.512332916259766,18.870698928833008,2.4233202934265137,58111.0
2012-08-27 23:00:00+00:00,,,,2.0309998989105225,,,,,,,,,,,,,
2012-08-28 03:00:00+00:00,8.199270248413086,12.424337387084961,7.512203693389893,,8.82264232635498,2.663839101791382,2.9752724170684814,9.887044906616211,4.681332111358643,9.101378440856934,0.3298605978488922,8.684762001037598,7.577145576477051,17.512332916259766,18.826295852661133,2.405026435852051,58406.0
2012-08-28 23:00:00+00:00,,,,2.0408999919891357,,,,,,,,,,,,,
2012-08-29 03:00:00+00:00,8.220568656921387,12.217781066894531,7.400111198425293,,8.608865737915039,2.7412188053131104,2.905799150466919,9.647987365722656,4.48006534576416,9.171935081481934,0.31435394287109375,8.599616050720215,7.486239433288574,17.512332916259766,18.265722274780273,2.4330780506134033,57369.0
2012-08-29 23:00:00+00:00,,,,2.046999931335449,,,,,,,,,,,,,
2012-08-30 03:00:00+00:00,8.172647476196289,12.078350067138672,7.40670108795166,,8.192866325378418,2.7231082916259766,2.8937156200408936,9.591903686523438,4.517335891723633,9.09052562713623,0.30871522426605225,8.53069019317627,7.575033187866211,17.512332916259766,18.20467185974121,2.4538114070892334,57256.0
2012-08-30 23:00:00+00:00,,,,2.0455000400543213,,,,,,,,,,,,,
2012-08-31 03:00:00+00:00,8.488109588623047,11.9699068069458,7.21989107131958,,7.522645473480225,2.56011700630188,2.8242440223693848,9.355799674987793,4.3533406257629395,9.079675674438477,0.31858333945274353,8.417163848876953,7.583490371704102,17.512332916259766,18.748592376708984,2.451371908187866,57061.0
2012-09-02 23:00:00+00:00,,,,2.0276999473571777,,,,,,,,,,,,,
2012-09-03 03:00:00+00:00,8.476128578186035,12.135153770446777,7.3803324699401855,,7.56886625289917,2.77414608001709,2.8499581813812256,9.463577270507812,4.5024261474609375,9.049822807312012,0.31858333945274353,8.368509292602539,7.397445201873779,17.512332916259766,18.620943069458008,2.470885753631592,57281.0
2012-09-03 23:00:00+00:00,,,,2.028599977493286,,,,,,,,,,,,,
2012-09-04 03:00:00+00:00,8.381624221801758,12.078350067138672,7.30063533782959,,7.563089370727539,2.7165229320526123,2.798525810241699,9.271646499633789,4.18189001083374,8.954849243164062,0.32478582859039307,8.283365249633789,7.412243843078613,17.512332916259766,18.01041603088379,2.548938751220703,56234.0
2012-09-04 23:00:00+00:00,,,,2.0367000102996826,,,,,,,,,,,,,
2012-09-05 03:00:00+00:00,8.382956504821777,12.501795768737793,7.322631359100342,,7.638200283050537,2.7576823234558105,2.816678047180176,9.301173210144043,4.323523044586182,9.287259101867676,0.3273228108882904,8.348237037658691,7.355161190032959,17.512332916259766,18.315677642822266,2.646505117416382,56864.0
2012-09-05 23:00:00+00:00,,,,2.0362000465393066,,,,,,,,,,,,,
2012-09-06 03:00:00+00:00,8.510736465454102,12.816787719726562,7.395198345184326,,7.539978504180908,2.7576823234558105,2.90139102935791,9.566915512084961,4.278796672821045,9.485355377197266,0.345648854970932,8.514473915100098,7.490468978881836,17.512332916259766,19.1593074798584,2.6684579849243164,58321.0
2012-09-06 23:00:00+00:00,,,,2.0250000953674316,,,,,,,,,,,,,
2012-09-09 23:00:00+00:00,,,,2.0253000259399414,,,,,,,,,,,,,
2012-09-10 03:00:00+00:00,8.510736465454102,12.816787719726562,7.40179443359375,,7.505311489105225,2.7576823234558105,2.90139102935791,9.62302303314209,4.174436569213867,9.28318977355957,0.35241517424583435,8.607725143432617,7.395330905914307,17.512332916259766,19.1593074798584,2.608698844909668,58404.0
2012-09-10 23:00:00+00:00,,,,2.0192999839782715,,,,,,,,,,,,,
2012-09-11 03:00:00+00:00,8.404252052307129,13.038837432861328,7.447969913482666,,7.095091342926025,2.7461578845977783,2.90139102935791,9.726366996765137,4.316068172454834,9.38223648071289,0.35664376616477966,8.802342414855957,7.462984085083008,17.512332916259766,20.424755096435547,2.69528865814209,59423.0
2012-09-11 23:00:00+00:00,,,,2.011899948120117,,,,,,,,,,,,,
