Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TAEE11;TAESA;UNT     N2;218.568.234;0,396
VIVT3;TELEF BRASIL;ON;429.455.552;0,807
TIMS3;TIM;ON      NM;808.436.195;0,451
TOTS3;TOTVS;ON      NM;519.851.955;0,739
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,624
USIM5;USIMINAS;PNA     N1;515.014.562;0,186
VALE3;VALE;ON      NM;4.547.296.398;15,738
VIIA3;VIA;ON      NM;1.576.975.642;0,259
VBBR3;VIBRA;ON      NM;1.114.442.976;0,943
WEGE3;WEG;ON  EJ  NM;1.481.593.024;2,249
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,199
