Date,ABEV3,ITSA4,PETR4,VALE3
2016-01-04,14.22070026397705,3.4963219165802,3.4599974155426025,8.44851016998291
2016-01-05,14.443801879882812,3.554593324661255,3.3643059730529785,8.335331916809082
2016-01-06,14.303330421447754,3.586378335952759,3.223287343978882,7.722830295562744
2016-01-07,13.923230171203613,3.5334057807922363,3.152778148651123,7.263454437255859
2016-01-08,14.105016708374023,3.5334057807922363,3.1578140258789062,7.017123699188232
2016-01-11,13.881914138793945,3.4910240173339844,3.0671589374542236,6.817394733428955
2016-01-12,14.03065013885498,3.4486446380615234,2.7851219177246094,6.26481294631958
2016-01-13,13.906704902648926,3.459240436553955,2.654175281524658,5.991851806640625
2016-01-14,13.923230171203613,3.4751319885253906,2.865703821182251,6.424595832824707
2016-01-15,13.708392143249512,3.4168601036071777,2.603811740875244,6.2381815910339355
2016-01-18,13.419183731079102,3.400967836380005,2.4174656867980957,5.918616771697998
2016-01-19,13.84060001373291,3.3638858795166016,2.346956253051758,6.111688613891602
2016-01-20,13.667078018188477,3.3268041610717773,2.231119155883789,6.131661415100098
2016-01-21,13.485288619995117,3.3373985290527344,2.266373872756958,6.085057735443115
2016-01-22,13.923230171203613,3.390374183654785,2.2210464477539062,6.011824131011963
2016-01-26,13.914969444274902,3.443347692489624,2.1152822971343994,5.958563327789307
2016-01-27,14.72474479675293,3.4486446380615234,2.301628828048706,6.26481294631958
2016-01-28,14.782586097717285,3.522810459136963,2.316737174987793,6.211552143096924
2016-01-29,15.418841361999512,3.644651174545288,2.4376115798950195,6.471199989318848
2016-02-01,15.310667991638184,3.6658403873443604,2.377174139022827,6.324731826782227
2016-02-02,14.961185455322266,3.3638858795166016,2.1656460762023926,5.725546360015869
2016-02-03,15.061039924621582,3.538700580596924,2.2613377571105957,5.998509407043457
2016-02-04,15.277382850646973,3.5969746112823486,2.3822107315063477,6.883971214294434
2016-02-05,15.094322204589844,3.5916755199432373,2.2865195274353027,6.810736656188965
2016-02-10,14.927901268005371,3.5969746112823486,2.170682191848755,6.790764331817627
2016-02-11,14.85301399230957,3.517512083053589,2.1303913593292236,6.5710625648498535
2016-02-12,14.91125774383545,3.522810459136963,2.241191864013672,6.824052810668945
