Date,Close
2017-01-02,59589.0
2017-01-03,61814.0
2017-01-04,61589.0
2017-01-05,62071.0
2017-01-06,61665.0
2017-01-09,61700.0
2017-01-10,62132.0
2017-01-11,62446.0
2017-01-12,63954.0
2017-01-13,63652.0
2017-01-16,63831.0
2017-01-17,64354.0
2017-01-18,64150.0
2017-01-19,63951.0
2017-01-20,64521.0
2017-01-23,65749.0
2017-01-24,65840.0
2017-01-26,66191.0
2017-01-27,66034.0
2017-01-30,64302.0
2017-01-31,64671.0
2017-02-01,64836.0
2017-02-02,64578.0
2017-02-03,64954.0
2017-02-06,63993.0
2017-02-07,64199.0
2017-02-08,64835.0
2017-02-09,64965.0
2017-02-10,66125.0
2017-02-13,66968.0
2017-02-14,66713.0
2017-02-15,67976.0
2017-02-16,67814.0
2017-02-17,67748.0
2017-02-20,68533.0
2017-02-21,69052.0
2017-02-22,68590.0
2017-02-23,67461.0
2017-02-24,66662.0
2017-03-01,66989.0
2017-03-02,65855.0
2017-03-03,66786.0
2017-03-06,66341.0
2017-03-07,65742.0
2017-03-08,64718.0
2017-03-09,64585.0
2017-03-10,64675.0
2017-03-13,65534.0
2017-03-14,64699.0
2017-03-15,66235.0
2017-03-16,65783.0
2017-03-17,64210.0
2017-03-20,64884.0
2017-03-21,62980.0
2017-03-22,63521.0
2017-03-23,63531.0
2017-03-24,63854.0
2017-03-27,64308.0
2017-03-28,64640.0
2017-03-29,65528.0
2017-03-30,65266.0
2017-03-31,64984.0
2017-04-03,65211.0
2017-04-04,65769.0
2017-04-05,64775.0
2017-04-06,64223.0
2017-04-07,64593.0
2017-04-10,64650.0
2017-04-11,64360.0
2017-04-12,63892.0
2017-04-13,62826.0
2017-04-17,64335.0
2017-04-18,64159.0
2017-04-19,63407.0
2017-04-20,63761.0
2017-04-24,64389.0
2017-04-25,65148.0
2017-04-26,64862.0
2017-04-27,64677.0
2017-04-28,65403.0
2017-05-02,66722.0
2017-05-03,66094.0
2017-05-04,64863.0
2017-05-05,65710.0
2017-05-08,65526.0
2017-05-09,66278.0
2017-05-10,67350.0
2017-05-11,67538.0
2017-05-12,68222.0
2017-05-15,68474.0
2017-05-16,68684.0
2017-05-17,67540.0
2017-05-18,61597.0
2017-05-19,62639.0
2017-05-22,61673.0
2017-05-23,62662.0
2017-05-24,63257.0
2017-05-25,63227.0
2017-05-26,64085.0
2017-05-29,63761.0
2017-05-30,63962.0
2017-05-31,62711.0
2017-06-01,62289.0
2017-06-02,62511.0
2017-06-05,62450.0
2017-06-06,62955.0
2017-06-07,63171.0
2017-06-08,62756.0
2017-06-09,62211.0
2017-06-12,61700.0
2017-06-13,61829.0
2017-06-14,61923.0
2017-06-16,61626.0
2017-06-19,62014.0
2017-06-20,60766.0
2017-06-21,60762.0
2017-06-22,61272.0
2017-06-23,61087.0
2017-06-26,62188.0
2017-06-27,61675.0
2017-06-28,62018.0
2017-06-29,62239.0
2017-06-30,62900.0
2017-07-03,63280.0
2017-07-04,63232.0
2017-07-05,63154.0
2017-07-06,62470.0
2017-07-07,62322.0
2017-07-10,63025.0
2017-07-11,63832.0
2017-07-12,64836.0
2017-07-13,65178.0
2017-07-14,65436.0
2017-07-17,65212.0
2017-07-18,65338.0
2017-07-19,65180.0
2017-07-20,64938.0
2017-07-21,64684.0
2017-07-24,65100.0
2017-07-25,65668.0
2017-07-26,65011.0
2017-07-27,65277.0
2017-07-28,65497.0
2017-07-31,65920.0
2017-08-01,66516.0
2017-08-02,67136.0
2017-08-03,66777.0
2017-08-04,66898.0
2017-08-07,67940.0
2017-08-08,67899.0
2017-08-09,67671.0
2017-08-10,66992.0
2017-08-11,67359.0
2017-08-14,68285.0
2017-08-15,68355.0
2017-08-16,68594.0
2017-08-17,67977.0
2017-08-18,68715.0
2017-08-21,68635.0
2017-08-22,70011.0
2017-08-23,70478.0
2017-08-24,71133.0
2017-08-25,71074.0
2017-08-28,71017.0
2017-08-29,71330.0
2017-08-30,70886.0
2017-08-31,70835.0
2017-09-01,71923.0
2017-09-04,72129.0
2017-09-05,72151.0
2017-09-06,73412.0
2017-09-08,73079.0
2017-09-11,74319.0
2017-09-12,74539.0
2017-09-13,74788.0
2017-09-14,74657.0
2017-09-15,75757.0
2017-09-18,75990.0
2017-09-19,75974.0
2017-09-20,76004.0
2017-09-21,75604.0
2017-09-22,75390.0
2017-09-25,74443.0
2017-09-26,74319.0
2017-09-27,73797.0
2017-09-28,73567.0
2017-09-29,74294.0
2017-10-02,74360.0
2017-10-03,76763.0
2017-10-04,76591.0
2017-10-05,76618.0
2017-10-06,76055.0
2017-10-09,75727.0
2017-10-10,76897.0
2017-10-11,76660.0
2017-10-13,76990.0
2017-10-16,76892.0
2017-10-17,76201.0
2017-10-18,76591.0
2017-10-19,76283.0
2017-10-20,76391.0
2017-10-23,75413.0
2017-10-24,76350.0
2017-10-25,76671.0
2017-10-26,75896.0
2017-10-27,75976.0
2017-10-30,74800.0
2017-10-31,74308.0
2017-11-01,73824.0
2017-11-03,73915.0
2017-11-06,74311.0
2017-11-07,72415.0
2017-11-08,74363.0
2017-11-09,72931.0
2017-11-10,72166.0
2017-11-13,72475.0
2017-11-14,70827.0
2017-11-16,72512.0
2017-11-17,73437.0
2017-11-21,74595.0
2017-11-22,74519.0
2017-11-23,74487.0
2017-11-24,74157.0
2017-11-27,74059.0
2017-11-28,74140.0
2017-11-29,72700.0
2017-11-30,71971.0
2017-12-01,72264.0
2017-12-04,73090.0
2017-12-05,72546.0
2017-12-06,73268.0
2017-12-07,72487.0
2017-12-08,72732.0
2017-12-11,72800.0
2017-12-12,73814.0
2017-12-13,72914.0
2017-12-14,72429.0
2017-12-15,72608.0
2017-12-18,73115.0
2017-12-19,72680.0
2017-12-20,73367.0
2017-12-21,75133.0
