Date,ABEV3.SA,ALOS3.SA,ALPA4.SA,ARZZ3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,LWSA3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RECV3.SA,RENT3.SA,RRRP3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SOMA3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2015-01-02,10.964507102966309,,4.518841743469238,20.170930862426758,,,2.197925329208374,6.27060079574585,8.40278434753418,8.235692024230957,14.849440574645996,7.181161403656006,,1.8999857902526855,57.13993453979492,11.003018379211426,10.672083854675293,13.775540351867676,2.8970468044281006,,13.185506820678711,10.521957397460938,1.6847426891326904,,5.1040544509887695,3.220968008041382,11.1646089553833,6.964308261871338,4.351451873779297,14.298345565795898,4.734817028045654,5.406079292297363,23.94777488708496,5.989071846008301,9.877060890197754,4.60759973526001,11.259557723999023,5.3618879318237305,4.745443820953369,6.2201642990112305,,12.179300308227539,,,3.108635187149048,11.847057342529297,7.596036911010742,8.89328670501709,9.231858253479004,,2.0580739974975586,3.721101999282837,4.288368225097656,11.684898376464844,,6.567932605743408,3.127357006072998,3.0899317264556885,,0.43929439783096313,4.3713202476501465,,,,,8.978641510009766,,7.02497673034668,13.356696128845215,1.339181900024414,9.347708702087402,,17.277538299560547,7.203685760498047,8.394054412841797,10.326150894165039,4.931339263916016,9.100080490112305,3.7322909832000732,12.06066608428955,,,,20.158580780029297,5.0210347175598145,16.091352462768555
2015-01-05,10.766024589538574,,4.395836353302002,19.53887939453125,,,2.1378352642059326,6.140480995178223,8.299209594726562,8.252676010131836,14.404202461242676,6.84028434753418,,1.8817965984344482,56.05557632446289,10.339425086975098,10.36758041381836,13.307336807250977,2.8223564624786377,,12.223321914672852,10.385692596435547,1.6483348608016968,,4.801115989685059,3.062455415725708,11.017702102661133,7.1442484855651855,4.385446548461914,14.315885543823242,4.642796516418457,5.310637474060059,23.417739868164062,5.561281204223633,8.188980102539062,4.431673049926758,10.632575035095215,5.137359142303467,4.528095722198486,5.926978588104248,,12.201862335205078,,,3.1188042163848877,11.906585693359375,7.632038116455078,8.675467491149902,8.975214004516602,,2.096750020980835,3.4384031295776367,4.211259841918945,11.669055938720703,,6.567932605743408,2.8736941814422607,2.8258352279663086,,0.4063473343849182,4.34158182144165,,,,,8.60538101196289,,6.975273132324219,13.356696128845215,1.339181900024414,8.883892059326172,,17.277538299560547,7.176933288574219,8.193855285644531,10.008868217468262,4.937398433685303,8.857579231262207,3.5063276290893555,11.879302024841309,,,,19.758821487426758,5.05526876449585,15.128066062927246
2015-01-06,11.176680564880371,,4.356992244720459,19.15652847290039,,,2.158634901046753,6.2263031005859375,8.520522117614746,8.524154663085938,15.015795707702637,6.741808891296387,,1.9657436609268188,56.560997009277344,10.118226051330566,10.519832611083984,13.040289878845215,2.7974603176116943,,11.403681755065918,10.57528018951416,1.6483348608016968,,4.612009525299072,3.309735059738159,10.87080192565918,7.344179630279541,4.328787326812744,14.605274200439453,4.684623718261719,5.521972179412842,22.993717193603516,5.703877925872803,8.188980102539062,4.68132209777832,10.893817901611328,5.063632488250732,5.00419282913208,6.507603168487549,,11.923524856567383,,,3.1425342559814453,12.099194526672363,7.4520368576049805,8.961746215820312,9.078600883483887,,2.069124221801758,3.385807752609253,4.323956489562988,12.249868392944336,,6.567932605743408,2.8007214069366455,2.7334020137786865,,0.3664114773273468,4.467525482177734,,,,,8.779226303100586,,7.02497673034668,13.316944122314453,1.354937195777893,8.430265426635742,,17.277538299560547,7.1883978843688965,8.17955207824707,9.382951736450195,4.909531593322754,8.87015438079834,3.677747964859009,12.355379104614258,,,,19.268447875976562,4.980280876159668,14.245044708251953
2015-01-07,11.334096908569336,,4.305201530456543,19.35160255432129,,,2.2441482543945312,6.500381946563721,8.896754264831543,8.862916946411133,14.776052474975586,7.188736915588379,,2.017510414123535,59.088096618652344,10.111907005310059,11.310091018676758,13.161674499511719,2.7974603176116943,,11.23440933227539,10.948522567749023,1.734616756439209,,4.679940700531006,3.6711432933807373,10.775315284729004,7.537447929382324,4.464770317077637,14.973584175109863,4.851931571960449,5.712854862213135,22.820253372192383,5.846475124359131,8.188980102539062,4.641110420227051,11.217759132385254,5.02677059173584,5.371615409851074,6.984752655029297,,12.638182640075684,,,3.261183977127075,12.536932945251465,7.660837650299072,9.055093765258789,9.233076095581055,,2.1381871700286865,3.5041465759277344,4.418859004974365,12.672279357910156,,6.567932605743408,2.9362409114837646,2.8621490001678467,,0.3654130697250366,4.544493198394775,,,,,8.87126350402832,,7.317683219909668,13.595208168029785,1.3982635736465454,8.460847854614258,,17.277538299560547,7.199863433837891,8.20815372467041,9.316610336303711,5.050081253051758,9.110858917236328,3.8959193229675293,12.808789253234863,,,,19.92938232421875,4.923223495483398,13.799888610839844
2015-01-08,12.017047882080078,,4.369940757751465,19.257966995239258,,,2.2141025066375732,6.522531986236572,8.916425704956055,8.908563613891602,14.732014656066895,7.158436298370361,,2.046891450881958,58.031307220458984,10.137187004089355,11.44058895111084,13.525830268859863,2.774827241897583,,12.116412162780762,11.17365550994873,1.71865713596344,,4.736855506896973,3.550673723220825,10.393366813659668,7.597425937652588,4.50443172454834,15.127044677734375,4.759912490844727,5.528789520263672,22.164945602416992,5.989071846008301,8.188980102539062,4.60759973526001,11.233433723449707,4.959746837615967,5.2474164962768555,6.749052047729492,,12.608092308044434,,,3.295083999633789,12.73304557800293,7.725636959075928,9.048872947692871,9.244020462036133,,2.121612310409546,3.569890260696411,4.472239971160889,12.537635803222656,,6.567932605743408,3.134305953979492,3.04701566696167,,0.37739384174346924,4.556736946105957,,,,,8.720426559448242,,7.196184158325195,13.642910957336426,1.4022023677825928,8.537301063537598,,17.277538299560547,7.26865291595459,8.579952239990234,9.532939910888672,5.082793235778809,9.01745319366455,3.7011239528656006,12.94481086730957,,,,20.73957061767578,5.006365776062012,14.230453491210938
2015-01-09,11.987985610961914,,4.3505167961120605,19.04728889465332,,,2.1563241481781006,6.240148544311523,8.604126930236816,8.521759986877441,14.25252914428711,7.029660224914551,,2.004918336868286,56.77235412597656,9.91598892211914,11.273838996887207,13.810219764709473,2.6775052547454834,,11.831320762634277,10.563431739807129,1.6448431015014648,,4.589976787567139,3.3985025882720947,10.28319263458252,7.1908979415893555,4.4421067237854,13.965112686157227,4.659527778625488,5.215195655822754,21.972200393676758,5.989071846008301,8.188980102539062,4.356276035308838,10.65870189666748,4.942991733551025,5.009368419647217,6.386880874633789,,12.397455215454102,,,3.179823875427246,12.176233291625977,7.5456366539001465,9.055093765258789,8.915619850158691,,2.049785852432251,3.6224851608276367,4.258711814880371,12.619476318359375,,6.567932605743408,3.2281277179718018,3.139450788497925,,0.43729761242866516,4.486767768859863,,,,,8.751102447509766,,7.124385356903076,13.324894905090332,1.3884170055389404,8.50162410736084,,17.277538299560547,7.218972682952881,8.386903762817383,9.434871673583984,4.662356853485107,8.907875061035156,3.5530786514282227,12.667096138000488,,,,20.409082412719727,4.983542442321777,13.865568161010742
2015-01-12,12.140562057495117,,4.5317912101745605,18.844411849975586,,,2.0939221382141113,6.132180213928223,8.4590425491333,8.370403289794922,14.580339431762695,6.817558765411377,,1.9839318990707397,57.24101638793945,10.105587005615234,11.165088653564453,13.466872215270996,2.589235782623291,,10.797860145568848,10.367918014526367,1.594470739364624,,4.303562641143799,3.341438055038452,9.8792085647583,7.030952453613281,4.289125919342041,13.570494651794434,4.659527778625488,5.290185451507568,22.078208923339844,5.418684005737305,8.188980102539062,4.307687282562256,10.292960166931152,4.892723083496094,4.890343189239502,6.2201642990112305,,12.231958389282227,,,3.125584363937378,11.882075309753418,7.495235919952393,8.999088287353516,9.037250518798828,,2.071887493133545,3.5041465759277344,4.151947021484375,12.434671401977539,,6.567932605743408,3.047436237335205,2.918269395828247,,0.3783922493457794,4.691425800323486,,,,,8.781783103942871,,6.980793476104736,13.142034530639648,1.4218964576721191,8.157583236694336,,17.277538299560547,7.1387200355529785,8.344002723693848,10.008868217468262,4.6490302085876465,8.737227439880371,3.4128262996673584,12.831457138061523,,,,20.441078186035156,4.955826759338379,12.435226440429688
2015-01-13,12.140562057495117,,4.557686805725098,18.984859466552734,,,2.098543882369995,6.096187114715576,8.372977256774902,8.39682388305664,14.27699089050293,6.953909873962402,,2.035698413848877,55.807464599609375,9.998147964477539,11.418839454650879,12.998673439025879,2.625448226928711,,11.528409004211426,10.652299880981445,1.6199071407318115,,4.553257942199707,3.227308511734009,10.20239543914795,7.030952453613281,4.464770317077637,13.684496879577637,4.617701053619385,5.392444610595703,21.798738479614258,5.561281204223633,8.188980102539062,4.346223831176758,10.606450080871582,4.862562656402588,4.750619411468506,6.076446533203125,,12.231958389282227,,,3.1357545852661133,11.868063926696777,7.336835861206055,8.918181419372559,9.006839752197266,,2.049785852432251,3.405531406402588,4.246849060058594,12.664361000061035,,6.567932605743408,3.0682852268218994,3.0007998943328857,,0.3724018633365631,4.591722011566162,,,,,8.804790496826172,,6.964225769042969,12.402647018432617,1.462268590927124,8.234034538269043,,17.277538299560547,7.261009216308594,8.379753112792969,9.662738800048828,4.646607398986816,8.821653366088867,3.288156032562256,12.757779121398926,,,,20.98474884033203,4.973760604858398,12.6322603225708
2015-01-14,12.176888465881348,,4.4670491218566895,19.000469207763672,,,2.1401455402374268,6.140480995178223,8.471342086791992,8.48572063446045,14.032356262207031,6.953909873962402,,1.8748012781143188,56.77235412597656,9.39775276184082,11.64358901977539,13.126988410949707,2.639028310775757,,11.581862449645996,11.120331764221191,1.6308788061141968,,4.604665279388428,3.1385419368743896,10.114252090454102,7.004295349121094,4.447772026062012,14.425500869750977,4.718085289001465,5.4742512702941895,20.62302589416504,5.989071846008301,7.901645660400391,4.473560810089111,10.548975944519043,4.865912914276123,4.569496154785156,5.863742351531982,,12.262046813964844,,,3.1527037620544434,11.948609352111816,7.29363489151001,8.74392318725586,8.927777290344238,,2.016636610031128,3.195150375366211,4.199397563934326,12.68812084197998,,6.567932605743408,2.953615188598633,2.941378116607666,,0.34444674849510193,4.549739360809326,,,,,8.993975639343262,,7.058113098144531,12.251587867736816,1.4573456048965454,8.412426948547363,,17.277538299560547,7.364192962646484,8.358304023742676,9.590629577636719,4.6974945068359375,8.893505096435547,3.1868627071380615,11.73194408416748,,,,21.219287872314453,5.053640365600586,12.975250244140625
2015-01-15,12.198686599731445,,4.583581447601318,18.80539321899414,,,2.1309006214141846,6.101725101470947,8.409872055053711,8.39923095703125,14.311241149902344,7.309937953948975,,1.8873937129974365,57.048038482666016,9.460953712463379,11.723341941833496,12.963994026184082,2.691084146499634,,11.225500106811523,10.895206451416016,1.6533225774765015,,4.843343257904053,3.0878183841705322,10.28319263458252,7.117588996887207,4.413776874542236,14.403578758239746,4.667892932891846,5.331089496612549,20.786861419677734,5.703877925872803,7.901645660400391,4.398162841796875,10.078740119934082,4.896074295043945,4.647120952606201,5.932724952697754,,12.826248168945312,,,3.145925760269165,11.843550682067871,7.668037414550781,8.681692123413086,9.027517318725586,,2.0328798294067383,3.412104845046997,4.080770492553711,13.305892944335938,,6.567932605743408,3.214228391647339,3.0734269618988037,,0.3454451262950897,4.547989368438721,,,,,9.050220489501953,,7.2900710105896,12.45829963684082,1.462268590927124,8.486333847045898,,17.277538299560547,7.478840351104736,8.558504104614258,9.403141975402832,4.71688175201416,8.920450210571289,3.1868627071380615,11.867964744567871,,,,21.58706283569336,5.053640365600586,12.471713066101074
